                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                         53                        1575     4.0000000000000000E+001     1.0000000000000000E-004     8.9163541376005657E-005     1.6205129271786674E-006     5.7643093638037535E+003     1.1773247194787052E+006     1.0894628009271212E+003     2.7381054803440033E+000     0.0000000000000000E+000     1.0000000000016040E-099     1.7306799387687417E-003     1.5259838176811673E-008     3.2022478489993407E-018     3.7799932233824616E-008     2.0437016483078738E-010     3.7607318313241940E+001     0.0000000000000000E+000     1.3833584716460587E+001     1.7382808858151569E-004     1.0413649265977071E+001     3.3736210050690491E-001     2.4717832160505897E-003     6.7505263702008769E+000     7.7508402422715117E-001     1.6404691897328252E+001     0.0000000000000000E+000     1.3040963018094732E+001     2.8465874356898166E+000     1.4651022065742274E+000     1.3112120057243202E+000     3.7602082906188258E+001     1.0818964144045342E+003     3.7598073811505103E+001     1.0780883448672478E+003     5.8710529556497663E+007     2.5883058997575475E+001     3.1943029557634424E+005    -2.5244117821421444E+016     7.4969911669348141E+013     6.9573432563928203E+013     9.8645543227087000E+013     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45                          46                          47                          48                          49                          50                          51                          52                          53                          54                          55                          56                          57                          58                          59                          60                          61                          62                          63                          64                          65                          66                          67                          68                          69                          70                          71                          72                          73                          74                          75                          76                          77                          78                          79                          80                          81                          82                          83                          84                          85                          86                          87                          88                          89                          90                          91                          92                          93                          94 
                       zone                        logT                      logRho                        logP                        logR                  luminosity                        logL                    velocity                     entropy            conv_mixing_type                      csound                v_div_csound                total_energy                     v_div_r                         eta                          mu                       logdq                    dq_ratio                           q                      radius                 temperature                         tau                      logtau                    pressure             pgas_div_ptotal                     logPgas                       grada                      free_e                        abar                        zbar                          ye                 log_opacity                     eps_nuc                 non_nuc_neu                    logPvisc                    eps_grav           mlt_mixing_length                   log_D_mix                log_conv_vel         conv_vel_div_csound               log_mlt_D_mix       pressure_scale_height                       gradT                       gradr                     dlnd_dt                     dlnT_dt                        mass                        mmid                       logxq                        neut                          h1                        prot                         he3                         he4                         c12                         n14                         o16                        ne20                        mg24                        si28                         s32                        ar36                        ca40                        ti44                        cr48                        cr56                        fe52                        fe54                        fe56                        ni56                          pp                         cno                    tri_alfa                      burn_c                      burn_n                      burn_o                     burn_ne                     burn_na                     burn_mg                     burn_si                      burn_s                     burn_ar                     burn_ca                     burn_ti                     burn_cr                     burn_fe                     c12_c12                     c12_o16                     o16_o16                       pnhe4                       photo                       other             gradr_sub_grada              burn_num_iters 
                          1     3.7607472810746518E+000    -9.7657807435435231E+000     1.8189712457343037E+000     3.0372124061032584E+000     1.1773247194787052E+006     6.0708962626972909E+000     0.0000000000000000E+000     2.4206717449508027E+001                           0     7.2157802743903280E+005     0.0000000000000000E+000    -6.3721926283511766E+013     0.0000000000000000E+000    -2.2223047716191150E+001     1.3009226824448115E+000    -1.2301029995855503E+001     1.0000000000000000E+000     1.0000000000000000E+000     1.0894628009271212E+003     5.7643093667986859E+003     6.6666666666666663E-001    -1.7609125905568127E-001     6.5913025335002743E+001     9.5775750045050556E-001     1.8002268074768759E+000     2.4942451720219408E-001     2.9937741481454207E-003     1.2979994273613509E+000     1.0993507191205678E+000     8.4695778437698710E-001    -2.0367872715005326E+000     6.8621141029118681E-037     0.0000000000000000E+000     0.0000000000000000E+000    -5.4088431237521160E+008     6.6390561403351624E+011    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     6.3594319188627662E+000     1.3075199925721895E-001     1.3075199925721895E-001    -9.5396704908076193E-004     7.8273574976123870E-005     3.7607318313241940E+001     3.7607318313232540E+001    -9.8999999999999986E+001     1.0000000000006532E-099     6.9391291567875646E-001     1.0000000000006564E-099     8.9222375960882849E-006     3.0597820634044176E-001     6.1502308084785930E-006     3.1152245827966221E-005     3.1704345403257320E-005     7.4298861323319284E-006     1.4475457688631230E-005     2.4342519879775558E-006     1.4754770667546216E-006     2.8853458962871383E-007     2.2328421551864914E-007     5.9295863439749290E-056     1.0000187938422197E-099     1.0000000000003509E-099     1.0000000000007208E-099     2.6579164330530983E-007     4.3562378419197061E-006     1.0000000000006495E-099     6.8621141029118681E-037     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -1.1867251794497513E-001                           0 
                          2     3.7607472825370074E+000    -9.7657813539690128E+000     1.8189712459807432E+000     3.0372124060859687E+000     1.1773247247447816E+006     6.0708962646398543E+000     0.0000000000000000E+000     2.4206717449473199E+001                           0     7.2157853475331492E+005     0.0000000000000000E+000    -6.3721926286104781E+013     0.0000000000000000E+000    -2.2223047716191381E+001     1.3009226824468345E+000    -1.1484739026844720E+001     1.5265429609113573E-001     9.9999999999949996E-001     1.0894628008837478E+003     5.7643093862082578E+003     6.6666667142336211E-001    -1.7609125595697137E-001     6.5913025372404960E+001     9.5775749990552062E-001     1.8002268074761925E+000     2.4942451720216358E-001     2.9937741481419031E-003     1.2979994273634161E+000     1.0993507191212564E+000     8.4695778437617009E-001    -2.0367872715005326E+000     6.8621044576159244E-037     0.0000000000000000E+000     0.0000000000000000E+000    -5.4088361810756159E+008     6.6390573761549792E+011    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     6.3594408605162229E+000     1.3075199961872205E-001     1.3075199961872205E-001    -9.5396550636433076E-004     7.8273577704849928E-005     3.7607318313223132E+001     3.7607318313161542E+001    -1.2301029995855503E+001     1.0000000000006694E-099     6.9391291567712199E-001     1.0000000000006704E-099     8.9222375960560011E-006     3.0597820634207618E-001     6.1502308084587555E-006     3.1152245828085972E-005     3.1704345403146860E-005     7.4298861323314286E-006     1.4475457688630471E-005     2.4342519879776608E-006     1.4754770667545678E-006     2.8853458962871039E-007     2.2328421551863794E-007     5.9295863450061227E-056     1.0000187938422383E-099     1.0000000000003724E-099     1.0000000000007328E-099     2.6579164330531496E-007     4.3562378419197815E-006     1.0000000000006700E-099     6.8621044576159244E-037     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -1.1867251758346800E-001                           0 
                          3     3.7607472870662098E+000    -9.7657805248387497E+000     1.8189712467455621E+000     3.0372124059726899E+000     1.1773247592414829E+006     6.0708962773650832E+000     0.0000000000000000E+000     2.4206717449447570E+001                           0     7.2157784659070463E+005     0.0000000000000000E+000    -6.3721926303067773E+013     0.0000000000000000E+000    -2.2223047716191541E+001     1.3009226824483162E+000    -1.1074806187543917E+001     3.8910531284225341E-001     9.9999999999622458E-001     1.0894628005995799E+003     5.7643094463235129E+003     6.6666670258328131E-001    -1.7609123565810053E-001     6.5913025488481765E+001     9.5775749821774536E-001     1.8002268074756904E+000     2.4942451720214126E-001     2.9937741481393266E-003     1.2979994273649289E+000     1.0993507191217606E+000     8.4695778437557145E-001    -2.0367872715005326E+000     6.8621175585883906E-037     0.0000000000000000E+000     0.0000000000000000E+000    -5.4088146792403424E+008     6.6390619245841089E+011    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     6.3594287273485781E+000     1.3075200052349290E-001     1.3075200052349290E-001    -9.5396072848517909E-004     7.8273586156121065E-005     3.7607318313099952E+001     3.7607318312941672E+001    -1.1423039953558972E+001     1.0000000000006223E-099     6.9391291567592484E-001     1.0000000000006284E-099     8.9222375960316692E-006     3.0597820634327333E-001     6.1502308084440815E-006     3.1152245828173108E-005     3.1704345403063640E-005     7.4298861323316802E-006     1.4475457688630608E-005     2.4342519879775350E-006     1.4754770667545204E-006     2.8853458962870504E-007     2.2328421551864295E-007     5.9295863457676220E-056     1.0000187938421991E-099     1.0000000000003249E-099     1.0000000000006960E-099     2.6579164330530125E-007     4.3562378419196053E-006     1.0000000000006343E-099     6.8621175585883898E-037     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -1.1867251667866441E-001                           0 
                          4     3.7607472971275611E+000    -9.7657809436330236E+000     1.8189712484449787E+000     3.0372124056815712E+000     1.1773248478975927E+006     6.0708963100687683E+000     0.0000000000000000E+000     2.4206717449412913E+001                           0     7.2157819591472822E+005     0.0000000000000000E+000    -6.3721926346657852E+013     0.0000000000000000E+000    -2.2223047716191754E+001     1.3009226824503246E+000    -1.0755530514640618E+001     4.7942902950724481E-001     9.9999999998780686E-001     1.0894627998692845E+003     5.7643095798659515E+003     6.6666678266422130E-001    -1.7609118349004096E-001     6.5913025746402809E+001     9.5775749446849401E-001     1.8002268074750116E+000     2.4942451720211095E-001     2.9937741481358407E-003     1.2979994273669795E+000     1.0993507191224443E+000     8.4695778437476010E-001    -2.0367872715005326E+000     6.8621109412308733E-037     0.0000000000000000E+000     0.0000000000000000E+000    -5.4087594842168295E+008     6.6390548827515308E+011    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     6.3594348762213126E+000     1.3075200284909066E-001     1.3075200284909066E-001    -9.5394968465956390E-004     7.8273196722339483E-005     3.7607318312783391E+001     3.7607318312453238E+001    -1.0913886515551683E+001     1.0000000000006414E-099     6.9391291567430202E-001     1.0000000000006459E-099     8.9222375959998750E-006     3.0597820634489631E-001     6.1502308084244964E-006     3.1152245828291414E-005     3.1704345402953824E-005     7.4298861323316565E-006     1.4475457688631001E-005     2.4342519879775956E-006     1.4754770667545566E-006     2.8853458962871701E-007     2.2328421551864911E-007     5.9295863467894005E-056     1.0000187938422184E-099     1.0000000000003444E-099     1.0000000000007092E-099     2.6579164330530215E-007     4.3562378419197569E-006     1.0000000000006426E-099     6.8621109412308733E-037     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -1.1867251435304077E-001                           0 
                          5     3.7607473107292320E+000    -9.7657806962392204E+000     1.8189712507421085E+000     3.0372124050743490E+000     1.1773250328158934E+006     6.0708963782818799E+000     0.0000000000000000E+000     2.4206717449352023E+001                           0     7.2157799230125651E+005     0.0000000000000000E+000    -6.3721926437577539E+013     0.0000000000000000E+000    -2.2223047716192148E+001     1.3009226824538598E+000    -1.0755530514640618E+001     1.0000000000000000E+000     9.9999999997024913E-001     1.0894627983460182E+003     5.7643097603983906E+003     6.6666694969820395E-001    -1.7609107467716809E-001     6.5913026095039058E+001     9.5775748939995597E-001     1.8002268074738166E+000     2.4942451720205772E-001     2.9937741481296928E-003     1.2979994273705886E+000     1.0993507191236471E+000     8.4695778437333180E-001    -2.0367872715005326E+000     6.8621148502177480E-037     0.0000000000000000E+000     0.0000000000000000E+000    -5.4087073648097634E+008     6.6390573358838403E+011    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     6.3594312695658228E+000     1.3075200769968781E-001     1.3075200769968781E-001    -9.5393605704804940E-004     7.8273906206706992E-005     3.7607318312123091E+001     3.7607318311792945E+001    -1.0526500520064017E+001     1.0000000000006558E-099     6.9391291567144575E-001     1.0000000000006591E-099     8.9222375959433355E-006     3.0597820634775252E-001     6.1502308083899688E-006     3.1152245828501038E-005     3.1704345402760667E-005     7.4298861323316218E-006     1.4475457688630999E-005     2.4342519879775952E-006     1.4754770667545564E-006     2.8853458962871696E-007     2.2328421551864909E-007     5.9295863485942182E-056     1.0000187938422369E-099     1.0000000000003584E-099     1.0000000000007196E-099     2.6579164330530326E-007     4.3562378419197595E-006     1.0000000000006526E-099     6.8621148502177472E-037     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -1.1867250950239652E-001                           0 
                          6     3.7607473305166566E+000    -9.7657814820959956E+000     1.8189700637833781E+000     3.0372124044671267E+000     1.1773252177324030E+006     6.0708964464943200E+000     0.0000000000000000E+000     2.4206747303010953E+001                           0     7.2157732431244582E+005     0.0000000000000000E+000    -6.3721930570073008E+013     0.0000000000000000E+000    -2.2223050007975800E+001     1.3009225567111378E+000    -1.0474597673061519E+001     5.2368141135970658E-001     9.9999999995269140E-001     1.0894627968227519E+003     5.7643100230332011E+003     6.6666711673218704E-001    -1.7609096586432221E-001     6.5912845950141701E+001     9.5775736624923913E-001     1.8002255646724739E+000     2.4942387367599514E-001     2.9938042224476619E-003     1.2979994273768145E+000     1.0993507191257226E+000     8.4695778437086833E-001    -2.0367839336404252E+000     6.8621024328880730E-037     0.0000000000000000E+000     0.0000000000000000E+000    -5.4090141492104995E+008     6.6390533366299939E+011    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     6.3594253785081953E+000     1.3075223477076856E-001     1.3075223477076856E-001    -9.5402735221841695E-004     7.8264388742761324E-005     3.7607318311462791E+001     3.7607318310832355E+001    -1.0325059608146766E+001     1.0000000000006723E-099     6.9391291566651858E-001     1.0000000000006741E-099     8.9222375958452694E-006     3.0597820635267986E-001     6.1502308083303496E-006     3.1152245828864273E-005     3.1704345402427919E-005     7.4298861323313863E-006     1.4475457688630245E-005     2.4342519879775405E-006     1.4754770667544892E-006     2.8853458962870790E-007     2.2328421551864035E-007     5.9295863517137620E-056     1.0000187938422601E-099     1.0000000000003716E-099     1.0000000000007340E-099     2.6579164330530872E-007     4.3562378419197671E-006     1.0000000000006771E-099     6.8621024328880730E-037     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -1.1867206125471369E-001                           0 
                          7     3.7607473564898419E+000    -9.7657806916390921E+000     1.8189719540373110E+000     3.0372124033075960E+000     1.1773255708598783E+006     6.0708965767567902E+000     0.0000000000000000E+000     2.4206747691462827E+001                           0     7.2157833321169694E+005     0.0000000000000000E+000    -6.3721928581173281E+013     0.0000000000000000E+000    -2.2223048111259089E+001     1.3009226207743922E+000    -1.0474597673061519E+001     1.0000000000000000E+000     9.9999999991916377E-001     1.0894627939139762E+003     5.7643103677704758E+003     6.6666743569570941E-001    -1.7609075807836566E-001     6.5913132834485467E+001     9.5775754000333824E-001     1.8002275337150879E+000     2.4942403658486798E-001     2.9937963472306162E-003     1.2979994273846611E+000     1.0993507191283383E+000     8.4695778436776348E-001    -2.0367839336404252E+000     6.8621149226836575E-037     0.0000000000000000E+000     0.0000000000000000E+000    -5.4089198489514148E+008     6.6390576834759985E+011    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     6.3594414492411948E+000     1.3075295226532299E-001     1.3075295226532299E-001    -9.5400218863073334E-004     7.8266558936529790E-005     3.7607318310201904E+001     3.7607318309571461E+001    -1.0092393995131340E+001     1.0000000000006725E-099     6.9391291566030899E-001     1.0000000000006743E-099     8.9222375957218855E-006     3.0597820635888962E-001     6.1502308082552550E-006     3.1152245829320607E-005     3.1704345402007431E-005     7.4298861323313880E-006     1.4475457688630193E-005     2.4342519879775325E-006     1.4754770667544896E-006     2.8853458962870626E-007     2.2328421551863935E-007     5.9295863556427757E-056     1.0000187938422793E-099     1.0000000000003718E-099     1.0000000000007342E-099     2.6579164330530877E-007     4.3562378419197679E-006     1.0000000000006773E-099     6.8621149226836575E-037     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -1.1867100286510857E-001                           0 
                          8     3.7607473954496249E+000    -9.7657801216963946E+000     1.8189719606166077E+000     3.0372124021480702E+000     1.1773259239817918E+006     6.0708967070171695E+000     0.0000000000000000E+000     2.4206747691263995E+001                           0     7.2157786519887729E+005     0.0000000000000000E+000    -6.3721928754800062E+013     0.0000000000000000E+000    -2.2223048111260351E+001     1.3009226207859226E+000    -1.0173567677397537E+001     5.0000000000000000E-001     9.9999999988563615E-001     1.0894627910052116E+003     5.7643108848764987E+003     6.6666775465923345E-001    -1.7609055029250742E-001     6.5913133833029207E+001     9.5775752548530013E-001     1.8002275337111902E+000     2.4942403658469417E-001     2.9937963472105749E-003     1.2979994273964333E+000     1.0993507191322625E+000     8.4695778436310531E-001    -2.0367839336404252E+000     6.8621239281123352E-037     0.0000000000000000E+000     0.0000000000000000E+000    -5.4087129978329957E+008     6.6390631838200684E+011    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     6.3594331660839396E+000     1.3075324541768443E-001     1.3075324541768443E-001    -9.5393508323550155E-004     7.8273788395412418E-005     3.7607318308941025E+001     3.7607318307680139E+001    -9.9417113821784078E+000     1.0000000000006497E-099     6.9391291565099267E-001     1.0000000000006564E-099     8.9222375955368359E-006     3.0597820636820616E-001     6.1502308081426217E-006     3.1152245830003857E-005     3.1704345401375172E-005     7.4298861323314439E-006     1.4475457688630103E-005     2.4342519879775198E-006     1.4754770667544964E-006     2.8853458962870361E-007     2.2328421551863781E-007     5.9295863615364317E-056     1.0000187938422909E-099     1.0000000000003541E-099     1.0000000000007167E-099     2.6579164330530289E-007     4.3562378419197019E-006     1.0000000000006532E-099     6.8621239281123344E-037     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -1.1867079116712562E-001                           0 
                          9     3.7607474733694231E+000    -9.7657792708199480E+000     1.8189736332354320E+000     3.0372123998290186E+000     1.1773266301985106E+006     6.0708969675278111E+000     0.0000000000000000E+000     2.4206775052884971E+001                           0     7.2157862596585904E+005     0.0000000000000000E+000    -6.3721931192371117E+013     0.0000000000000000E+000    -2.2223043267434182E+001     1.3009226768848936E+000    -9.8725376817335544E+000     4.9999999999999828E-001     9.9999999981858101E-001     1.0894627851876833E+003     5.7643119190917550E+003     6.6666839258628674E-001    -1.7609013472108581E-001     6.5913387687879592E+001     9.5775765785946121E-001     1.8002292663549813E+000     2.4942419539357971E-001     2.9937900487636876E-003     1.2979994274545166E+000     1.0993507191516241E+000     8.4695778434012181E-001    -2.0367832183846879E+000     6.8621373718469024E-037     0.0000000000000000E+000     0.0000000000000000E+000    -5.4086425604202902E+008     6.6390615592723413E+011    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     6.3594451314906344E+000     1.3075350226090832E-001     1.3075350226090832E-001    -9.5391862746456620E-004     7.8273933793787900E-005     3.7607318306419259E+001     3.7607318303897493E+001    -9.7413172573447948E+000     1.0000000000006944E-099     6.9391291560502621E-001     1.0000000000006926E-099     8.9222375946241224E-006     3.0597820641417389E-001     6.1502308075878236E-006     3.1152245833378918E-005     3.1704345398262149E-005     7.4298861323321901E-006     1.4475457688631858E-005     2.4342519879775617E-006     1.4754770667547323E-006     2.8853458962871055E-007     2.2328421551866275E-007     5.9295863906096006E-056     1.0000187938424436E-099     1.0000000000003957E-099     1.0000000000007638E-099     2.6579164330531120E-007     4.3562378419198069E-006     1.0000000000006946E-099     6.8621373718469024E-037     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -1.1867058726008101E-001                           0 
